AIDS  n.爱滋病(获得性免疫缺陷综合征)
freezing  a.冰冻的
frequent  a.时常发生的
fresh  a.新鲜的
friction  n.摩擦
fridge  n.电冰箱
fried  a.油炸的
friend  n.朋友
friendly  a.友好的
friendship  n.友谊
fright  n.惊骇
frighten  vt.使惊吓
frog  n.青蛙
from  prep.从
front  n.前面
frontier  n.边界
frost  n.霜
fruit  n.水果
fry  n.油炸食物
fuel  n.燃料
full  n.全部
fun  n.乐趣
function  n.官能
fundamental  n.基本原理
funeral  n.葬礼
funny  a.好笑的
fur  n.毛皮
furnished  a.家具
furniture  n.家具
future  n.未来
gain  n.增益
gale  n.狂风
gallery  n.走廊
gallon  n.加仑
game  n.比赛
garage  n.车库
garbage  n.垃圾
garden  n.花园
gardening  n.园艺(学)
garlic  n.大蒜
garment  n.衣服
gas  n.气体
gate  n.门
gather  n.集合
gay  a.欢快的
general  n.一般
generation  n.一代
generous  a.慷慨的
gentle  a.温和的
gentleman  n.绅士
geography  n.地理学
geometry  n.几何学
gesture  n.手势
get  vt.得到
gift  n.礼物
gifted  a.有天才的
giraffe  n.长颈鹿
girl  n.女孩
give  n.弹性
glad  a.高兴的
glance  n.一瞥
glare  n.闪耀光
glass  n.玻璃
glasshouse  n.温室
globe  n.球
glory  n.光荣
glove  n.手套
glue  n.胶
go  vi.去
goal  n.目标
goat  n.山羊
gold  n.黄金
golden  a.金的
goldfish  n.金鱼
golf  n.高尔夫球
good  n.善行
goodbye  interj.再见
goodness  n.仁慈
goods  n.货物
goose  n.鹅
govern  v.统治
government  n.政府
gown  n.睡衣
grade  n.等级
gradually  adv.逐渐地
graduate  n.毕业生
graduation  n.毕业
grain  n.谷粒
gram  n.克
grammar  n.语法学
grand  a.庄重的
grandchild  n.孙
granddaughter  n.孙女
grandfather  n.祖父
grandma  n.奶奶
grandmother  n.祖母
grandparent  n.祖父母
grandparents  n.外祖父母
grandson  n.孙子
granny  n.奶奶
grape  n.葡萄
graph  n.曲线图
grasp  n.把握
grass  n.草
grateful  a.感谢的
gravity  n.地心引力
great  a.大的
greedy  a.贪婪的
green  n.绿色
greengrocer  n.蔬菜水果商
greet  vt.问候
greeting  n.祝贺
grill  n.烤架
grocer  n.食品商
ground  n.土地
group  n.团体
grow  vt.种植
growth  n.生长
gruel  n.稀粥
guarantee  n.担保
guard  n.守卫者
guess  n.猜测
guest  n.客人
guidance  n.指导
guide  n.引导者
guilty  a.犯罪的
guitar  n.吉他
gun  n.枪
gym  n.+体育馆
gymnasium  n.健身房
gymnastics  n.体操
ha  interj.嘿
habit  n.习惯
hair  n.头发
haircut  n.理发
half  n.一半
hall  n.门厅
ham  n.火腿
hamburger  n.汉堡(德国港口)
hammer  n.锤
hand  n.手
handbag  n.手提包
handful  n.少数
handkerchief  n.手帕
handle  n.柄
handsome  a.英俊的
handtruck  n.手推车
handwriting  n.笔迹
handy  a.便利的
hang  n.悬挂
happen  vi.发生
happily  adv.幸福地
happiness  n.快乐
happy  a.快乐的
harbour  n.港
hard  a.坚硬的
hardly  adv.刚刚
hardship  n.艰难
hardworking  a.苦干的
harm  n.伤害
harmful  a.有害的
harmless  a.无害处的
harmony  n.协调
harvest  n.收获
hat  n.帽子
hatch  n.孵化
hate  n.憎恨
have  vt.有
hawk  n.鹰
hay  n.干草
he  pron.他
head  n.头
headache  n.头痛
headline  n.大标题
headmaster  n.(中小学)校长
headmistress  n.(中小学)女校长
headteacher  n.中小学的校长
health  n.健康
healthy  a.健康的
heap  n.堆
hear  vt.听到
hearing  n.听
heart  n.心
heat  n.热
heaven  n.天堂
heavily  adv.很重地
heavy  a.重的
heel  n.脚后跟
height  n.高度
helicopter  n.直升机
hello  interj.喂
helmet  n.钢盔
help  n.帮忙
helpful  a.有帮助的
hen  n.母鸡
her  pron.她的
herb  n.药草
here  adv.在这里
hero  n.英雄
heroine  n.巾帼英雄
hers  pron.她的
herself  pron.她自己
hey  interj.嗨
hi  interj.喂
hibernate  vi.过冬
hibernation  n.过冬
hide  n.兽皮
high  n.高度
highway  n.公路
hill  n.小山
hillside  n.山坡
hilly  a.多丘陵的
him  pron.他
himself  pron.他自己
hire  n.租金
his  pron.他的
history  n.历史
hit  n.打击
hive  n.蜂房
hobby  n.嗜好
hold  n.把握
hole  n.孔
holiday  n.假日
holy  a.神圣的
home  n.家
homeland  n.本国
hometown  n.故乡
homework  n.家庭作业
honest  a.诚实的
honey  n.蜂蜜
honour  n.荣誉
hook  n.钩
hooray  interj.万岁
hope  n.希望
hopeful  n.有希望之人
hopeless  a.无希望的
horrible  a.可怕的
horse  n.马
hospital  n.医院
host  n.主人
hostess  n.女主人
hot  a.热的
hotdog  v.卖弄
hotel  n.旅馆
hour  n.小时
house  n.房子
housewife  n.主妇
housework  n.家事
how  adv.如何
however  adv.然而
howl  n.嗥叫
hug  n.紧抱
huge  a.极大的
human  n.人
humorous  a.富幽默感的
humour  n.幽默
hundred  n.百
hunger  n.饥饿
hungry  a.饥饿的
hunt  n.狩猎
hunter  n.猎人
hurricane  n.飓风
hurry  n.匆忙
hurt  n.伤害
husband  n.丈夫
hydrogen  n.氢
ice  n.冰
idea  n.主意
identification  n.识别
identity  n.身份
idiom  n.习语
if  conj.如果
ignore  vt.不理睬
ill  n.疾病
illegal  a.违法的
illness  n.疾病
imagine  vt.想像
immediate  a.立即的
immediately  adv.直接地
immigration  n.移民
import  n.进口货
importance  n.重要
important  a.重要的
impossible  a.不可能的
impress  n.印象
impression  n.印象
improve  vt.改良
in  prep.在...期间
inch  n.英寸
incident  n.事件
include  vt.包括
income  n.收入
incorrect  a.不正确的
increase  n.增加
indeed  adv.的确
independence  n.独立
independent  n.独立自主者
indicate  vt.显示
industry  n.勤劳
influence  n.影响力
inform  vt.通知
information  n.消息
initial  n.字首
injure  vt.伤害
injury  n.伤害
ink  n.墨水
inland  a.内陆的
inn  n.旅馆
innocent  a.无罪的
insect  n.昆虫
insert  n.插入物
inside  n.内部
insist  v.坚持
inspect  vt.检查
inspire  vt.使感动
instant  n.立即
instead  adv.作为替代
institute  n.学会
institution  n.机构
instruct  vt.教
instruction  n.指令
instrument  n.工具
insurance  n.保险
insure  vt.保险
intelligence  n.智力
intend  vt.计划
intention  n.意图
interest  n.兴趣
interesting  a.有趣的
international  a.国际的
interpreter  n.直译程序
interrupt  vt.中断
interval  n.间隔
interview  n.面谈
into  prep.进入...之内
introduce  vt.介绍
introduction  n.介绍
invent  vt.发明
invention  n.发明
inventor  n.发明家
invitation  n.邀请
invite  vt.邀请
iron  n.铁
irrigate  vt.灌溉
irrigation  n.灌溉
island  n.岛
it  pron.它
its  pron.它的
itself  pron.它本身
jacket  n.夹克
jam  n.果酱
jar  n.广口瓶
jaw  n.颚
jazz  n.爵士乐
jeans  n.工装裤
jeep  n.吉普车
jet  n.喷射流
jewel  n.珠宝
jewelry  n.珠宝
job  n.工作
jog  n.轻推
join  vi.参加
joke  n.笑话
journalist  n.新闻记者
journey  n.旅程
joy  n.欢喜
judge  n.法官
judgement  n.审判
juice  n.汁
juicy  a.多汁液的
jump  n.跳跃
jungle  n.丛林
junior  n.年少者
junk  n.垃圾
just  a.正直的
justice  n.正义
kangaroo  n.袋鼠
keep  n.生计
keeper  n.监护人
kettle  n.茶壶
key  n.钥匙
keyboard  n.键盘
kick  n.踢
kid  n.小山羊
kill  n.杀
kilo  n.千
kilogram  n.千克
kilometre  n.公里
kind  n.种类
kindergarten  n.幼稚园
kindness  n.仁慈
king  n.国王
kingdom  n.王国
kiss  n.吻
kitchen  n.厨房
kite  n.风筝
knee  n.膝
knife  n.小刀
knock  n.敲
know  v.知道
knowledge  n.知识
lab  n.实验室
laboratory  n.实验室
labour  n.劳动
labourer  n.劳动者
lack  n.缺乏
ladder  n.梯
lady  n.淑女
lake  n.湖
lamb  n.小羊
lame  a.跛足的
lamp  n.灯
land  n.陆地
language  n.语言
lantern  n.灯笼
lap  n.膝盖
large  a.大的
laser  n.激光
last  a.最后的
late  a.迟的
lately  adv.近来
later  adv.以后
latest  a.最近的
latter  a.后者的
laugh  n.笑
laughter  n.笑
laundry  n.洗衣店
lavatory  n.洗脸盆
law  n.法律
lawyer  n.律师
lay  vt.放置
lazy  a.懒惰的
lead  n.铅
leader  n.领导者
leading  n.领导
leaf  n.叶
league  n.同盟
leak  n.漏洞
learn  vt.学习
learned  a.有学问的
least  n.最少
leather  n.皮革
leave  n.许可
lecture  n.演讲
left  a.左边的
leftover  n.剩货
leg  n.腿
legal  a.法律的
lemon  n.柠檬
lemonade  n.柠檬水
lend  vt.借
length  n.长度
less  n.较少
lesson  n.课
let  vt.让
letter  n.信
level  n.水平
liberate  vt.解放
liberation  n.释放
liberty  n.自由
librarian  n.图书馆员
library  n.图书馆
license  n.执照
lid  n.盖子
lie  n.谎言
life  n.生活
lifetime  n.一生
lift  n.举起
light  n.光
lightning  n.闪电
like  a.相似的
likely  a.有可能的
limit  n.界限
line  n.列
link  n.环
lion  n.狮子
lip  n.唇
liquid  n.液体
list  n.目录
listen  vi.听
literary  a.文学的
literature  n.文学
litre  n.升
litter  n.垃圾
little  n.一点点
liuruiyang  n.刘锐洋
live  a.活的
lively  a.活泼的
living  n.生活
load  n.负荷
loaf  n.一条面包
local  a.地方性的
lock  n.锁
locust  n.蝗虫
lonely  a.孤单的
long  a.长的
look  n.一看
loose  n.发射
lorry  n.卡车
lose  vt.遗失
loss  n.损失
lot  n.运气
loud  a.大声的
loudly  adv.高声地
loudspeaker  n.扩音器
lounge  n.闲逛
love  n.爱
lovely  a.可爱的
low  n.低点
luck  n.运气
lucky  a.幸运的
luggage  n.行李
lunch  n.午餐
lung  n.肺
machine  n.机器
mad  a.疯狂的
madam  n.女士
madame  n.夫人
magazine  n.杂志
magic  n.魔术
maid  n.少女
mail  n.邮件
mailbox  n.邮筒
main  n.主要部分
mainland  n.大陆
major  n.主修课
majority  n.多数
make  vt.制造
male  n.男人
man  n.男人
manage  vi.处理
manager  n.经理
mankind  n.人类
manner  n.样子
many  n.多数
map  n.地图
maple  n.枫
marathon  n.马拉松
marble  n.大理石
march  n.三月
mark  n.标志
market  n.市场
marriage  n.婚姻
married  a.已婚的
marry  vt.与...结婚
mask  n.面具
mass  n.块
master  n.主人
mat  n.垫
match  n.比赛
material  n.材料
math  n.数学
mathematics  n.数学
matter  n.事件
mature  a.成熟的
maximum  n.极点
may  n.五月
maybe  adv.也许
me  pron.我
meal  n.一餐
mean  a.低劣的
meaning  n.意义
means  n.方法
meanwhile  n.其时
measure  n.尺寸
meat  n.肉
medal  n.奖牌
media  n.媒体
medical  n.医生
medicine  n.药
medium  n.媒体
meet  n.会
meeting  n.会议
melon  n.瓜
member  n.成员
memorial  n.纪念物
memorize  vt.记住
memory  n.记忆
mend  n.改进
mental  a.心智的
mentally  adv.心理上
mention  n.提到
menu  n.菜单
merchant  n.商人
merciful  a.仁慈的
mercy  n.仁慈
merely  adv.只
merry  a.快乐的
mess  n.食堂
message  n.消息
messy  a.散乱的
metal  n.金属
method  n.方法
metre  n.公尺
microcomputer  n.微电脑
microscope  n.显微镜
microwave  n.微波
midday  n.正午
middle  n.中央
midnight  n.午夜
might  n.力量
mild  a.温和的
mile  n.英里
milk  n.奶
million  n.百万
millionaire  n.百万富翁
mind  n.思想
mine  n.矿
mineral  n.矿物
minibus  n.中客车
minimum  a.最小的
miniskirt  n.超短裙
minister  n.部长
ministry  n.部
minority  n.少数
minus  n.负号
minute  n.分
mirror  n.镜子
miss  n.失误
missile  n.发射物
mist  n.雾
mistake  n.错误
mistaken  a.犯错的
misunderstand  vt.误解
mix  n.混合物
mixture  n.混合
mobile  a.移动的
model  n.模型
modem  n.调制解调器
modern  n.现代人
modest  a.谦逊的
mom  n.妈妈
moment  n.片刻
money  n.金钱
monitor  n.监督器
monkey  n.猴子
month  n.月
monument  n.纪念碑
moon  n.月亮
mop  n.拖把
moral  n.道德
more  n.更多
morning  n.早晨
mosquito  n.蚊子
most  n.最多
mother  n.母亲
motherland  n.祖国
motivation  n.动机
motor  n.马达
motorbike  n.机动脚踏两用车
motorcycle  n.摩托车
motto  n.箴言
mountain  n.山
mountainous  a.多山的
mourn  v.哀悼
mouse  n.老鼠
moustache  n.髭
mouth  n.嘴
mouthful  n.一口
move  n.移动
movement  n.运动
movie  n.电影
much  n.大量
mud  n.泥
muddy  a.泥泞的
multiply  v.繁殖
murder  n.谋杀
museum  n.博物馆
mushroom  n.蘑菇形物
music  n.音乐
musical  n.音乐片
musician  n.音乐家
must  n.必须
mustard  n.芥末
mutton  n.羊肉
my  pron.我的
myself  pron.我自己
nail  n.钉子
name  n.名字
narrow  n.狭窄部分
nation  n.国家
national  a.国家的
nationality  n.国籍
nationwide  a.全国性的
native  n.本地人
natural  n.白痴
nature  n.自然
navy  n.海军
near  a.近的
nearby  a.附近的
nearly  adv.几乎
neat  a.整洁的
necessary  a.必要的
neck  n.脖子
necklace  n.项链
necktie  n.领带
need  n.需要
needle  n.针
negotiate  vi.商议
neighbour  n.邻居
neighbourhood  n.邻接
neither  adv.皆不
nephew  n.侄子
nervous  a.神经紧张的
nest  n.巢
net  n.网
network  n.网络
never  adv.从不
new  a.新的
news  n.新闻
newspaper  n.报纸
next  n.下一个
nice  a.美好的
niece  n.侄女
night  n.夜
nine  num.九
nineteen  num.十九
ninety  num.九十
ninth  num.第九
no  n.不
no.  n.号码
noble  n.贵族
nobody  n.小人物
nod  n.点头
noise  n.噪音
noisily  adv.吵闹地
noisy  a.嘈杂的
none  adv.一点也不
noodle  n.面条
noon  n.正午
nor  conj.也不
normal  n.常态
northeast  n.东北
northern  n.北方人
northwards  adv.向北方
northwest  n.西北
nose  n.鼻子
not  adv.不
note  n.笔记
notebook  n.笔记本
nothing  n.无
notice  n.注意
novel  n.小说
novelist  n.小说家
now  adv.现在
nowadays  n.现在
nowhere  adv.无处
nuclear  a.核子的
numb  a.麻木的
number  n.数
nurse  n.护士
nursery  n.托儿所
nursing  n.看护
nut  n.坚果
nutrition  n.营养
nylon  n.尼龙
obey  vt.服从
object  n.物体
observe  vt.觉察到
obtain  vt.获得
obvious  a.明显的
occupation  n.职业
occur  vi.发生
ocean  n.海洋
of  prep.的
off  a.关着的
offence  n.犯罪
offer  n.给予(物)
office  n.办公室
officer  n.军官
official  n.官员
offshore  a.海面的
often  adv.时常
oh  interj.(表示惊讶
oil  n.油
oilfield  n.油田
old  n.以前
omelette  n.煎蛋卷
on  prep.在...之上
once  adv.一次
one  n.一(个)
oneself  pron.自己
onion  n.洋葱
only  a.唯一的
onto  prep.在...之上
open  n.公开
opener  n.开...的人
opening  n.开始
opera  n.歌剧
operate  v.操作
operation  n.操作
operator  n.操作员
opinion  n.意见
oppose  vt.反对
opposite  a.相对的
optimistic  a.乐观的
optional  a.可选择的
or  conj.或
oral  n.口试
orange  n.柑橘
orbit  n.轨道
order  n.次序
ordinary  a.平常的
organ  n.风琴
organise  vt.组织
organization  n.组织
origin  n.起源
other  a.其他的
otherwise  adv.否则
ouch  interj.哎唷(表剧痛)
ought  aux.应该
our  pron.我们的
ours  pron.我们的
ourselves  pron.我们自己
out  a.外面的
outcome  n.结果
outdoors  n.户外
outer  a.外部的
outgoing  n.外出
outing  n.郊游
outline  n.大纲
output  n.输出
outside  n.外面
outspoken  a.直言无讳的
outstanding  a.杰出的
outward  a.向外的
oval  n.椭圆形
over  adv.结束
overcoat  n.外套大衣
overcome  vt.战胜
overhead  n.经常开支
overlook  vt.俯瞰
overweight  n.超过重量
owe  vt.亏欠
own  n.自己的
owner  n.拥有者
ownership  n.所有权
ox  n.牛
oxygen  n.氧
pace  n.速度
pacific  n.太平洋
pack  n.包裹
package  n.包裹
packet  n.小包
paddle  n.桨
page  n.页
pain  n.痛苦
painful  a.痛苦的
paint  n.油漆
painter  n.画家
painting  n.画
pair  n.一双
palace  n.宫
pale  n.栅栏
pan  n.平锅
pancake  n.薄烤饼
panda  n.大熊猫
panic  n.恐慌
paper  n.纸
paperwork  n.文书工作
paragraph  n.段落
parallel  n.平行
parcel  n.包裹
pardon  n.原谅
parent  n.父母
park  n.公园
parking  n.停车
parrot  n.鹦鹉
part  n.部分
participate  vi.参加
particular  n.一项(或条
partly  adv.部分地
partner  n.合伙人
party  n.宴会
pass  n.经过
passage  n.通道
passenger  n.乘客
passive  a.消极的
passport  n.护照
past  n.过去
patent  n.专利权
path  n.路径
patience  n.耐性
patient  n.病人
pattern  n.模范
pause  n.暂停
pay  n.薪资
pea  n.豌豆
peace  n.和平
peaceful  a.平静的
peach  n.桃子
pear  n.梨子
peasant  n.农夫
pedestrian  n.行人
pen  n.钢笔
pencil  n.铅笔
penny  n.便士
pension  n.养老金
people  n.人
pepper  n.胡椒粉
per  prep.每一
percent  n.百分比
percentage  n.百分比
perfect  n.完成时
perform  vt.进行
performance  n.施行
performer  n.表演者
perfume  n.香水
perhaps  adv.也许
period  n.时期
permanent  a.永久的
permission  n.许可
permit  n.许可证
person  n.人
personal  a.私人的
personally  adv.亲自地
personnel  n.人员
persuade  vt.劝
pest  n.令人讨厌之物
pet  n.宠物
petrol  n.汽油
phenomenon  n.现象
phone  n.电话
photo  n.相片
photograph  n.相片
photographer  n.摄影师
phrase  n.惯用语
physical  a.身体的
physician  n.医师
physicist  n.物理学家
physics  n.物理学
pianist  n.钢琴家
piano  n.钢琴
pick  n.精选
picnic  n.野餐
picture  n.图画
pie  n.馅饼
piece  n.块
pig  n.猪
pile  n.堆
pill  n.药丸
pillow  n.枕头
pilot  n.飞行员
pin  n.大头针
pine  n.松树
pineapple  n.凤梨
pink  n.粉红色
pint  n.品脱(干量或液量的单位)
pioneer  n.先锋
pipe  n.管
pity  n.遗憾
place  n.地方
plain  n.平原
plan  n.计划
plane  n.平面
planet  n.行星
plant  n.植物
plastic  n.塑料
plate  n.碟
platform  n.站台
play  n.游戏
player  n.竞赛者
playground  n.运动场
playmate  n.玩伴
playroom  n.游戏室
pleasant  a.愉快的
please  adv.请
pleased  a.高兴的
pleasure  n.快乐
plenty  n.充分
plot  n.小块土地
plug  n.塞子
plus  prep.加上
pocket  n.口袋
poem  n.诗
poet  n.诗人
point  n.点
poison  n.毒药
poisonous  a.有毒的
police  n.警察
policeman  n.警察
policy  n.政策
polite  a.有礼貌的
political  a.政治的
politician  n.政客
politics  n.政治
pollute  vt.污染
pollution  n.污染
pond  n.池塘
pool  n.池
poor  a.贫穷的
pop  n.砰然声
popcorn  n.爆米花
popular  a.通俗的
population  n.人口
pork  n.猪肉
porridge  n.粥
port  n.港口
portable  a.可携带的
porter  n.大楼管理员
position  n.位置
possess  vt.持有
possession  n.拥有
possibility  n.可能性
possible  a.可能的
post  n.柱
postage  n.邮资
postbox  n.邮筒
postcard  n.明信片
postcode  n.邮政编码
poster  n.海报
postman  n.邮递员
postpone  vt.延迟
pot  n.盆
potato  n.马铃薯
potential  n.潜在性
pound  n.磅
pour  n.流出
powder  n.粉
power  n.力
powerful  a.有力的
practical  a.实际的
practice  n.实践
practise  v.实践
prairie  n.大草原
praise  n.赞美
pray  v.祈祷
prayer  n.祈祷
precious  a.宝贵的
precise  a.精确的
predict  v.预知
prefer  vt.宁可
preference  n.偏爱
pregnant  a.怀孕的
prejudice  n.偏见
premier  n.总理
preparation  n.准备
prepare  vt.准备
prescription  n.处方
present  n.现在
presentation  n.赠与
preserve  vt.保护
president  n.总统
press  n.压
pressure  n.压
pretend  v.假装
pretty  a.漂亮的
prevent  v.预防
preview  n.事先查看
price  n.价格
pride  n.骄傲
primary  n.最主要者
primitive  n.原始人
principle  n.原则
print  n.打印
printer  n.印刷工
printing  n.印刷
prison  n.监狱
prisoner  n.囚犯
private  a.私人的
privilege  n.特权
prize  n.奖赏
probable  a.很可能的
probably  adv.大概
problem  n.问题
procedure  n.程序
process  n.程序
produce  n.生产品
product  n.产品
production  n.制造
profession  n.职业
professor  n.教授
profit  n.利润
programme  n.节目
progress  n.进步
prohibit  vt.禁止
project  n.计划
promise  n.诺言
promote  vt.促进
pronounce  v.发音
pronunciation  n.发音
proper  a.适当的
properly  adv.适当地
protect  vt.防卫
protection  n.保护
proud  a.骄傲的
prove  vt.证明
provide  vt.提供
province  n.省
psychology  n.心理学
pub  n.酒馆
public  n.公众
publicly  adv.公然地
publish  vt.出版
pull  vt.拉
pulse  n.脉冲
pump  n.抽水机
punctual  a.准时的
punctuate  vt.vi. 给文章加标点
punctuation  n.标点
punish  vt.处罚
punishment  n.处罚
pupil  n.学生
purchase  n.购买
pure  a.纯的
purple  n.紫色
purpose  n.目的
purse  n.钱包
push  n.推
put  vt.放
puzzle  n.难题
puzzled  a.困惑的
pyramid  n.角锥
quake  vi.颤抖
qualification  n.资格
quality  n.品质
quantity  n.量
quarrel  n.吵架
quarter  n.四分之一
queen  n.王后
question  n.问题
questionnaire  n.调查表
queue  n.辫子
quick  a.快的
quiet  n.安静
quilt  n.棉被
quit  vi.离开
quite  adv.相当
quiz  n.考查
rabbit  n.兔子
race  n.种族
racial  a.人种的
radiation  n.辐射
radio  n.无线电
radioactive  a.放射性的
radium  n.镭
rag  n.碎布
rail  n.横杆
railway  n.铁路
rain  n.雨
rainbow  n.彩虹
raincoat  n.雨衣
rainfall  n.降雨
rainy  a.下雨的
raise  n.上升
random  n.随意
range  n.排
rank  n.等级
rapid  a.迅速的
rare  a.稀罕的
rat  n.鼠
rate  n.比率
rather  adv.宁可
raw  n.擦伤处
ray  n.光线
razor  n.剃刀
reach  n.伸出
react  vi.起反应
read  v.读
reading  n.阅读
ready  n.预备好的状态
real  a.真的
realise  vt.实现
reality  n.实在
really  adv.实际上
reason  n.理由
reasonable  a.合理的
rebuild  vt.改建
receipt  n.收据
receive  vt.收到
receiver  n.接收器
recent  a.最近的
reception  n.接待
receptionist  n.接待员
recipe  n.食谱
recite  v.背诵
recognise  vt.认识
recommend  vt.推荐
record  n.记录
recorder  n.记录员
recover  vt.重新获得
recreation  n.娱乐
rectangle  n.长方形
recycle  vt.使再循环
red  a.红的
redirect  vt.重新寄送
reduce  vt.减少
refer  vt.提交
referee  n.仲裁人
reference  n.参考
reflect  vt.反射
reform  n.改革
refresh  vt.使清新
refreshments  n.茶点
refrigerator  n.电冰箱
refusal  n.拒绝
refuse  vt.拒绝
regard  n.关心
regardless  a.不管
regards  n.问候
register  n.寄存器
regret  n.遗憾
regular  a.规则的
regulation  n.规则
reject  n.被拒之人
relate  vt.讲
relation  n.关系
relationship  n.关系
relative  n.亲戚
relax  vi.放松
relay  n.驿马
relevant  a.有关联的
reliable  a.可靠的
relief  n.减轻
religion  n.宗教
religious  a.宗教性的
rely  vi.信赖
remain  vi.保持
remark  n.评论
remember  vt.记得
remind  vt.提醒
remote  a.遥远的
remove  vt.移动
rent  n.租金
repair  n.修理
repairs  n.备件
repeat  n.重复
replace  vt.代替
reply  n.答复
report  n.报告
reporter  n.记者
represent  vt.表现
representative  n.代表
republic  n.共和国
reputation  n.名誉
request  n.请求
require  vt.需要
requirement  n.需求
rescue  n.援救
research  n.研究
resemble  vt.相似
reservation  n.保留
reserve  n.储备品
resign  vt.辞职
resist  v.抵抗
respect  n.尊敬
respond  vt.以...回答
responsibility  n.责任
rest  n.休息
restaurant  n.餐馆
restrict  vt.限制
restriction  n.限制
result  n.结果
retell  vt.再讲
retire  n.隐居
return  n.回来
reuse  vt.再使用
review  n.检讨
reviewer  n.评论者
revision  n.校订
revolution  n.革命
reward  n.报酬
rewind  vt.重绕
rewrite  vt.重写
rhyme  n.韵
rice  n.米
rich  a.富裕的
rid  vt.免除
riddle  n.谜
ride  n.骑马
ridiculous  a.荒谬的
right  n.权利
rigid  a.坚硬的
ring  n.环
ripe  a.成熟的
ripen  vt.使成熟
rise  n.上升
risk  n.冒险
river  n.河
road  n.路
roast  n.烤肉
rob  v.抢夺
robot  n.机械人
rock  n.岩石
rocket  n.火箭
role  n.角色
roll  n.卷
roller  n.滚筒
roof  n.屋顶
room  n.房间
rooster  n.公鸡
root  n.根
rope  n.绳
rose  n.玫瑰
rot  n.腐烂
rough  n.粗糙的东西
round  n.圆
roundabout  a.迂回的
routine  n.常规
row  n.排
royal  n.王室
rubber  n.橡皮
rubbish  n.废物
rude  a.粗鲁无礼的
rugby  n.橄榄球
ruin  n.毁灭
rule  n.规则
ruler  n.统治者
run  n.跑
runner  n.跑步者
running  n.赛跑
rush  n.匆促
sacred  a.神圣的
sacrifice  n.牺牲
sad  a.忧愁的
sadness  n.悲哀
safe  n.保险箱
safety  n.安全
sail  n.帆
sailing  n.航行
sailor  n.水手
salad  n.色拉
salary  n.薪水
sale  n.出售
salesgirl  n.女店员
salesman  n.售货员
saleswoman  n.女售货员
salt  n.盐
salty  a.有盐分的
salute  vi.行礼
same  a.相同的
sand  n.沙
sandwich  n.三明治
satellite  n.人造卫星
satisfaction  n.满足
satisfy  vt.使满意
sauce  n.酱油
saucer  n.茶碟
sausage  n.香肠
savage  a.未开化的
save  n.救球
say  vt.说
saying  n.叙述
scan  n.审视
scar  n.疤痕
scare  n.惊吓
scarf  n.围巾
scene  n.场
scenery  n.风景
sceptical  a.怀疑论的
schedule  n.时间表
scholar  n.学者
scholarship  n.学问
school  n.学校
schoolbag  n.书包
schoolmate  n.同窗
science  n.科学
scientific  a.科学的
scientist  n.科学家
scold  n.好骂街的人
score  n.得分
scores  n.大量
scratch  n.抓痕
scream  n.尖叫声
screen  n.幕
sculpture  n.雕刻
sea  n.海
seagull  n.鸥
seal  n.印章
seaman  n.船员
search  n.搜寻
seashell  n.海贝壳
seaside  a.海边的
season  n.季节
seat  n.座
seaweed  n.海草
second  n.秒
secondhand  a.间接获得的
secret  n.秘密
secretary  n.秘书
section  n.区段
secure  a.无虑的
security  n.安全
see  vt.看见
seed  n.种子
seek  vt.寻求
seem  vi.象是
seize  vt.抓住
seldom  a.不常的
select  a.挑选出来的
self  n.自己
selfish  a.自私的
sell  vt.卖
semicircle  n.半圆形
send  vt.发送
senior  n.年长者
sense  n.感应
sensitive  a.敏感的
sentence  n.句子
separate  n.独立件
separately  adv.分开
separation  n.分离
serious  a.严肃的
servant  n.仆人
serve  vt.可作...用
service  n.服务
session  n.期间
set  n.日落
settle  n.有背长椅
settlement  n.安顿
settler  n.移民者
seven  num.七
seventeen  num.十七
seventh  num.第七
seventy  num.七十
several  a.几个的
severe  a.严格的
sew  vt.缝纫
sex  n.性别
shabby  a.衣衫褴褛的
shade  n.荫
shadow  n.阴影
shake  n.摇动
shall  aux.将
shallow  n.水浅的地方
shame  n.羞耻
shape  n.形状
share  n.部分
shark  n.鲨鱼
sharp  n.半升音调
sharpen  vt.使尖锐
sharpener  n.研磨者
shave  n.修面
shaver  n.修面的人
she  pron.她
sheep  n.羊
sheet  n.床单
shelf  n.架子
shelter  n.庇护所
shine  n.光泽
ship  n.船
shirt  n.衬衫
shock  n.震动
shoe  n.鞋
shoot  n.射击
shooting  n.发射
shop  n.商店
shopkeeper  n.零售商
shopping  n.买东西
shore  n.海岸
short  a.短的
shortcoming  n.缺点
shortly  adv.不久
shorts  n.短裤
shot  n.发射
should  aux.应该
shoulder  n.肩
shout  n.呼喊
show  n.显示
shower  n.阵雨
shrink  n.收缩
shut  n.关闭
shuttle  n.穿梭
shy  n.惊跳
sick  n.病人
sickness  n.疾病
side  n.旁边
sideway  n.小路
sideways  adv.向旁边
sigh  n.叹息
sight  n.景观
sightseeing  n.观光
sign  n.符号
signal  n.信号
signature  n.签字
significance  n.重要性
silence  n.沉默
silent  a.沉默的
silk  n.丝
silly  a.愚蠢的
silver  n.银
similar  a.相似的
simple  a.简单的
simplify  vt.单一化
simply  adv.简单地
since  prep.自...以后
sincerely  adv.真诚地
sing  vi.唱
singer  n.歌手
single  a.单身的
sink  n.藏垢的场所
sir  n.先生
sister  n.姐妹
